"key","value","languageCode"
"Confirm password and new password should be same","Confirm password and new password should be same","en"
"Set a strong password to prevent unauthorized access to your account","Set a strong password to prevent unauthorized access to your account","en"
"Require strong, unique password.","Require strong, unique password.","en"
"Keep your networks secure by following strong password policies. Please, follow the guidelines to create a strong password:","Keep your networks secure by following strong password policies. Please, follow the guidelines to create a strong password:","en"
"Long","Long","en"
"Random","Random","en"
"Unique","Unique","en"
"- at least 8 characters long (even longer is better)","- at least 8 characters long (even longer is better)","en"
"- like a string of mixed- case letters, numbers and symbols (the strongest!) or a passphrase of 5 - 7 random words.","- like a string of mixed- case letters, numbers and symbols (the strongest!) or a passphrase of 5 - 7 random words.","en"
"- used for one and only one account.","- used for one and only one account.","en"
"Supplier Created Successfully","Supplier Created Successfully","en"
"Please Select Hierarchy level ","Please Select Hierarchy level ","en"
"Submit","Submit","en"
"Please wait...","Please wait...","en"
"unable to download data","unable to download data","en"
"Supplier deleted successfully","Supplier deleted successfully","en"
"Customer deleted successfully","Customer deleted successfully","en"
"Something went wrong while deleting supplier","Something went wrong while deleting supplier","en"
"Your credentials have been shared successfully","Your credentials have been shared successfully","en"
"Something went wrong","Something went wrong","en"
"Shared successfully","Shared successfully","en"
"Please select supplier by checkbox","Please select supplier by checkbox","en"
"Add","Add","en"
"Update Your Organization","Update Your Organization","en"
"Loading...","Loading...","en"
"Upload Company Logo","Upload Company Logo","en"
"Please check all fields Or Mobile number must be at least 8 digits","Please check all fields Or Mobile number must be at least 8 digits","en"
"Address","Address","en"
"Discard","Discard","en"
"New Assesment","New Assesment","en"
"Rental Car or Taxi","Rental Car or Taxi","en"
"Rail or Bus","Rail or Bus","en"
"Air","Air","en"
"Row deleted Successfully","Row deleted Successfully","en"
"Personal Vehicle","Personal Vehicle","en"
"Public Transportation","Public Transportation","en"
"My ESG Data","My ESG Data","en"
"My data","My data","en"
"Summary","Summary","en"
"Generic Calculator Table","Generic Calculator Table","en"
"Location for locale","Location for locale","en"
"Year","Year","en"
"Month","Month","en"
"Approach","Approach","en"
"Scope","Scope","en"
"Subcategory","Subcategory","en"
"Value","Value","en"
"Emission Factor","Emission Factor","en"
"Mt CO2e","Mt CO2e","en"
"Location","Location","en"
"Generic","Generic","en"
"From Date","From Date","en"
"To Date","To Date","en"
"Show","Show","en"
"Co2 Emissions","Co2 Emissions","en"
"used","used","en"
"New Integration","New Integration","en"
"Apply","Apply","en"
"Add New Row","Add New Row","en"
"Material Balance","Material Balance","en"
"Simplified Material Balance","Simplified Material Balance","en"
"Screening Method","Screening Method","en"
"Add New Record","Add New Record","en"
"+ Add New","+ Add New","en"
"Default Categories","Default Categories","en"
"My Categories","My Categories","en"
"Please Select","Please Select","en"
"January","January","en"
"February","February","en"
"March","March","en"
"April","April","en"
"May","May","en"
"June","June","en"
"July","July","en"
"August","August","en"
"September","September","en"
"October","October","en"
"November","November","en"
"December","December","en"
"S-Category | E-Factor | Units","S-Category | E-Factor | Units","en"
"SubCategory Units","SubCategory Units","en"
"metric ton","metric ton","en"
"gram (g)","gram (g)","en"
"pounds (lb)","pounds (lb)","en"
"kilogram (kg)","kilogram (kg)","en"
"Short Ton","Short Ton","en"
"SCF","SCF","en"
"gal","gal","en"
"ton-miles","ton-miles","en"
"Metricton","Metricton","en"
"gram","gram","en"
"MMBtu","MMBtu","en"
"pt","pt","en"
"T","T","en"
"mt","mt","en"
"lb","lb","en"
"g","g","en"
"kg","kg","en"
"passenger-miles","passenger-miles","en"
"vehicle-miles","vehicle-miles","en"
"Kilo Grams","Kilo Grams","en"
"Barrels","Barrels","en"
"Gallons","Gallons","en"
"Therm","Therm","en"
"Calculate & Save","Calculate & Save","en"
"Calculated value is displayed based upon the given inputs","Calculated value is displayed based upon the given inputs","en"
"Yearly","Yearly","en"
"Quarterly","Quarterly","en"
"Monthly","Monthly","en"
"Weekly","Weekly","en"
"Daily","Daily","en"
"Custom","Custom","en"
"Importing","Importing","en"
"click to import","click to import","en"
"File Selected:","File Selected:","en"
"Supported format: CSV","Supported format: CSV","en"
"Sample Format","Sample Format","en"
"Maximum Size: 5MB","Maximum Size: 5MB","en"
"You can download the attached sample and use them as straight point of your own file.","You can download the attached sample and use them as straight point of your own file.","en"
"A new template will be created upon making any changes to the current one","A new template will be created upon making any changes to the current one","en"
"CSV Fields","CSV Fields","en"
"Server Fields","System Fields","en"
"Choose Key Mapping","Choose Key Mapping","en"
"CSV Only","CSV Only","en"
"Choose Measure Type","Choose Measure Type","en"
"If you need more info, please check out","If you need more info, please check out","en"
"Help Page","Help Page","en"
"Spend Based","Spend Based","en"
"Detailed data from across a company's entire value chain, please check it out","Detailed data from across a company's entire value chain, please check it out","en"
"Collects financial data only , If you need more info, please check it out","Collects financial data only , If you need more info, please check it out","en"
"Use images to enhance time travel rivers","Use images to enhance time travel rivers","en"
"Food & Agriculture","Food & Agriculture","en"
"Use images to your post time","Use images to your post time","en"
"Transportation","Transportation","en"
"Use images to enhance your post flow","Use images to enhance your post flow","en"
"Energy","Energy","en"
"Select Industry Type","Select Industry Type","en"
"Total Money Spent","Total Money Spent","en"
"Customers will see this shortened version of your statement descriptor","Customers will see this shortened version of your statement descriptor","en"
"10-50","10-50","en"
"2-10","2-10","en"
"Specify Employee Size","Specify Employee Size","en"
"Business Details","Business Details","en"
"Contact Email","Contact Email","en"
"Business Description","Business Description","en"
"Region","Region","en"
"Corporation Type","Corporation Type","en"
"Shortened Descriptor","Shortened Descriptor","en"
"Business Name","Business Name","en"
"Your Are Done!","Your Are Done!","en"
"Contact us","Contact us","en"
"To start using our great tools like What If analysis & ESG Insights.","To start using our great tools like What If analysis & ESG Insights.","en"
"Writing headlines for blog posts is as much an art as it is a science and probably warrants its own post, but for all advise is with what works for your great & amazing audience.","Writing headlines for blog posts is as much an art as it is a science and probably warrants its own post, but for all advise is with what works for your great & amazing audience.","en"
"Redwoods Pricing Model","Redwoods Pricing Model","en"
"1","1","en"
"2","2","en"
"3","3","en"
"4","4","en"
"Data","Data","en"
"Woah, your results here","Woah, your results here","en"
"Company information","Company information","en"
"Internal and External data","Internal and External data","en"
"Carbon Footprint","Carbon Footprint","en"
"Options","Options","en"
"Actions","Actions","en"
"Invite Clients","Invite Clients","en"
"Add New Client","Add New Client","en"
"Invite","Invite","en"
"FAQ Page","FAQ Page","en"
"Invite a Customer","Invite a Customer","en"
"Invite Customer","Invite Customer","en"
"Notification List","Notification List","en"
"View Reports","View Reports","en"
"External Recipents","External Recipents","en"
"Ends On","Ends On","en"
"After","After","en"
"Never","Never","en"
"Starts on","Starts on","en"
"Select Month","Select Month","en"
"For the Weekday of","For the Weekday of","en"
"For the Month of","For the Month of","en"
"Every","Every","en"
"Of Every","Of Every","en"
"On Every","On Every","en"
"Month(s)","Month(s)","en"
"of every","of every","en"
"Weekdays of Month","Weekdays of Month","en"
"Day of Month","Day of Month","en"
"Weeks","Weeks","en"
"All Weekdays","All Weekdays","en"
"Recurs","Recurs","en"
"Export Type","Export Type","en"
"Schedule Name","Schedule Name","en"
"Report","Report","en"
"Calculated value","Calculated value","en"
"Calculate","Calculate","en"
"Mass Based","Mass Based","en"
"Mobile Source fuel Combustion and Miles Traveled","Mobile Source fuel Combustion and Miles Traveled","en"
"On Raod (or) Non Road","On Raod (or) Non Road","en"
"Total Amount of Purchased Offsets (CO2)","Total Amount of Purchased Offsets (CO2)","en"
"Offsets Purchased (MetricTons CO2e)","Offsets Purchased (MetricTons CO2e)","en"
"Total Amount of Electricity Purchased by eGRID Subregion","Total Amount of Electricity Purchased by eGRID Subregion","en"
"Fuel, Boiler, Steam and Emission Factor Data for Steam purchased","Fuel, Boiler, Steam and Emission Factor Data for Steam purchased","en"
"Inventory Change (kg)","Inventory Change (kg)","en"
"Transferred Amount (kg)","Transferred Amount (kg)","en"
"Capacity Change (kg)","Capacity Change (kg)","en"
"organization-wide RefrigerationGas CO2 Equivalent Emissions -Material Balance","organization-wide RefrigerationGas CO2 Equivalent Emissions","en"
"Dsiposed Units","Dsiposed Units","en"
"Charge (lb)","Charge (lb)","en"
"Capacity (lb)","Capacity (lb)","en"
"HOME.EMISSIONS_BY_SCOPE3","Emissions by Scope 3","en"
"Allocated locations data not in the file and please make sure insert the allocated locations in the file","No authorized location data found in the file. Please check its contents.","en"
"Override","Override","en"
"Append","Append","en"
"Total Co2","Total Co2","en"
"Electricity Purchased Emissions"," Purchased Electricity  Emissions","en"
"Map the columns from your CSV file to the system fields below.","Map the columns from your CSV file to the system fields below.","en"
"Ensure each column is correctly matched to import your data accurately","Ensure each column is correctly matched to import your data accurately","en"
"Search by company name","Search by company name","en"
"Metric tons of CO2 equivalent","Metric tons of CO2 equivalent","en"
"Dashboard Updated","Dashboard Updated","en"
"Dashboard Update Failed","Dashboard Update Failed","en"
"useDashboardFilter must be used within a DashboardFilterProvider","useDashboardFilter must be used within a DashboardFilterProvider","en"
"Bar Chart","Bar Chart","en"
"Line Chart","Line Chart","en"
"Create Action Plan","Create Action Plan","en"
"AI Assistant","AI Assistant","en"
"Start Engagement","Start Engagement","en"
"Edit","Edit","en"
"Please Select at list one tag","Please Select at list one tag","en"
"Failed to update tags:","Failed to update tags:","en"
"Apply","Apply","en"
"Tags","Tags","en"
"Available","Available","en"
"Selected","Selected","en"
"Move Up","Move Up","en"
"Move Down","Move Down","en"
"Filter Options","Filter Options","en"
"Monthly data will be displayed for the selected date range","Monthly data will be displayed for the selected date range","en"
"Data Already Exists for same period","Data Already Exists for same period","en"
"Please Click on Append or Overwrite for the next process.","Please Click on Append or Overwrite for the next process.","en"
"Download","Download","en"
"Sample File Template"," Sample File Template","en"
"Next","Next","en"
"Are you sure you want to remove","Are you sure you want to remove","en"
"Confirm To Remove","Confirm To Remove","en"
"unable to download data","unable to download data","en"
"Data Exported Successfully","Data Exported Successfully","en"
"Unable to download data. Please try again later.","Unable to download data. Please try again later.","en"
"Export  Calculator List","Export  Calculator List","en"
"Resource Name","Resource Name","en"
"Previous Import Status","Previous Import Status","en"
"No Data available!","No Data available!","en"
"Error loading data","Error loading data","en"
"Incident Investigation","Incident Investigation","en"
"Flash Incident Report Details","Flash Incident Report Details","en"
"Date & Time :","Date & Time :","en"
"11 Aug 2024, 08:08 PM","11 Aug 2024, 08:08 PM","en"
"Overview","Overview","en"
"Timeline","Timeline","en"
"Open","Open","en"
"Separated link","Separated link","en"
"Something else here","Something else here","en"
"Another action","Another action","en"
"Details","Details","en"
"Assignee","Assignee","en"
"Assign to me","Assign to me","en"
"Assigned By","Assigned By","en"
"Assignee Name here","Assignee Name here","en"
"Assigned For","Assigned For","en"
"Assigned For Name here","Assigned For Name here","en"
"High","High","en"
"Priority","Priority","en"
"Details of Injured / Affected Person","Details of Injured / Affected Person","en"
"Name of Person","Name of Person","en"
"Relationship with Company","Relationship with Company","en"
"Contract Employee","Contract Employee","en"
"Role / Trade / Profession","Role / Trade / Profession","en"
"Driver","Driver","en"
"Age","Age","en"
"Experience","Experience","en"
"11 Years","11 Years","en"
"Approval Status","Approval Status","en"
"Name of Person","Name of Person","en"
"User name","User name","en"
"Approved","Approved","en"
"Date & Time","Date & Time","en"
"Jan 10, 2024 10:40 AM","Jan 10, 2024 10:40 AM","en"
"Comments","Comments","en"
"Created 2 days ago","Created 2 days ago","en"
"Incident Investigation","Incident Investigation","en"
"General Details","General Details","en"
"Business Unit","Business Unit","en"
"Minor Injury","Minor Injury","en"
"Loss Time Injury","Loss Time Injury","en"
"Fatal Incident","Fatal Incident","en"
"Select Incident Type","Select Incident Type","en"
"Location","Location","en"
"Sub Unit","sub Unit","en"
"Flash Incident Reported","Flash Incident Reported","en"
"Yes","Yes","en"
"Flash Incident Reporting Time","Flash Incident Reporting Time","en"
"Fetched From System Automatically","Fetched From System Automatically","en"
"Type of Incident","Type of Incident","en"
"Incident Involves Injury ","Incident Involves Injury","en"
"Fatal Incident","Fatal Incident","en"
"Loss Time Injury","Loss Time Injury","en"
"Medical Treatment Case","Medical Treatment Case","en"
"First Aid Injury","First Aid Injury","en"
"Incident not Involves Injury","Incident not Involves Injury","en"
"Nearmiss","Nearmiss","en"
"No matching records found","No matching records found","en"
"AVAILABLE FOR INVESTIGATION","AVAILABLE FOR INVESTIGATION","en"
"Yes","Yes","en"
"Type of Incident","Type of Incident","en"
"Location","Location","en"
"Date & Time","Date & Time","en"
"Reported By","Reported By","en"
"Reporting on behalf of","Reporting on behalf of","en"
"Select any name here","Select any name here","en"
"Reporting Manager","Reporting Manager","en"
"Name of Supplier/Contractor","Name of Supplier/Contractor","en"
"Details of Injured / Affetcted Person","Details of Injured / Affetcted Person","en"
"Name of the Person","Name of the Person","en"
"Relation with Reporting Company","Relation with Reporting Company","en"
"Visitor","Visitor","en"
"Third Party Employee","Third Party Employee","en"
"Contract Employee","Contract Employee","en"
"Role/Trade/Profession","Role/Trade/Profession","en"
"Details of Incident & Injury","Details of Incident & Injury","en"
"Immediate Actions Taken","Immediate Actions Taken","en"
"Upload Photos / Videos / Recording","Upload Photos / Videos / Recording","en"
"Incident with Work Place Injury","Incident with Work Place Injury","en"
"Flash Incident Report","Flash Incident Report","en"
"Fatal Incident","Fatal Incident","en"
"Loss Tie Injury","Loss Tie Injury","en"
"Major Injury","Major Injury","en"
"First Aid Incident","First Aid Incident","en"
"Dangerous Occurence","Dangerous Occurence","en"
"Fire & Explosion","Fire & Explosion","en"
"Near Miss","Near Miss","en"
"Traffic Incidents","Traffic Incidents","en"
"Environmental Incident","Environmental Incident","en"
"MENU.SUPPLIERS","Suppliers","en"
"MENU.BUSINESSES","BUSINESSES","en"
"MENU.AIDASHBOARD","Autofill Responses","en"
"MENU.AUTOFILL","Requests","en"
"MENU.MYREQUEST","My Request","en"
"MENU.METRICS","Knowledge Hub","en"
"MENU.MYASSESSMENT","My Assessment","en"
"MENU.MEASURE.ENVIRONMENTAL","Environmental","en"
"MENU.MEASURE.SOCIAL","Social","en"
"MENU.MEASURE.GOVERNANCE","Governance","en"
"MEASUREGOVERNANCE","Governance","en"
"HEALTHANDSAFTEY","Health & Safety","en"
"GENDEREQUALITY","Gender Equality","en"
"HOME.Supplier_CEO_PLEDGE","CEO's Pledge","en"
"HOME.POWERED_BY","powered by","en"
"HOME.TOTAL_ESG_SCORE","Sustainability Score","en"
"ENVIRONMENT.GENERIC_CALCULATOR","Generic","en"
"ENVIRONMENT.WASTE_CATEGORY","Waste","en"
"ENVIRONMENT.UP_DOWN_CATEGORY","Upstream and Downstream","en"
"ENVIRONMENT.CAPITAL_GOODS_CATEGORY","Capital Goods","en"
"ENVIRONMENT.FUEL_AND_ENERGY","Fuel and Energy","en"
"ENVIRONMENT.BUSINESS_TRAVEL","Business Travel","en"
"ENVIRONMENT.UPSTREAM_CATEGORY","Upstream Leased Assets","en"
"ENVIRONMENT.EOL_SOLD_PRODUCTS","EOL Sold Products","en"
"FORM.SIGN_UP","Sign up!","en"
"FORM.VALID_EMAIL","Please enter a valid email address.","en"
"FORM.EMAIL_REQUIRED","Email is required.","en"
"FORM.PLEASE_WAIT","Please wait...","en"
"SIGNUP.IS_COMPANY_EMAIL","Please enter a company email address with a valid domain","en"
"SIGNUP.FIRST_NAME_REQUIRED","First Name is required","en"
"SIGNUP.LAST_NAME_REQUIRED","Last Name is required","en"
"SIGNUP.COMPANY_NAME_REQUIRED","Company Name is required","en"
"SIGNUP.INDUSTRY_REQUIRED","Industry is required","en"
"SIGNUP.SECTOR_REQUIRED","Sector is required","en"
"SIGNUP.CONTACT_NUMBER_REQUIRED","Contact Number is Required","en"
"SIGNUP.CONTACT_NUMBER_NUMERIC","Contact Number must be numeric","en"
"SIGNUP.CONTACT_NUMBER_MIN","Contact Number must be at least 8 digits","en"
"SIGNUP.CONTACT_NUMBER_MAX","Contact Number must not exceed 15 digits","en"
"SIGNUP.COUNTRY_REQUIRED","Country is required","en"
"SIGNUP.CHECK_BOX_REQUIRED","Please Click on Check Box","en"
"SIGNUP.THANK_YOU","Thank you for signing up! A confirmation email has been sent to your email address. Please check to verify your account and get started.","en"
"SIGNUP.LOGIN_INCORRECT","The login details are incorrect","en"
"SIGNUP.BUSINESS_EMAIL","Business Email","en"
"SIGNUP.FIRST_NAME","First Name","en"
"SIGNUP.LAST_NAME","Last Name","en"
"SIGNUP.COMPANY_NAME","Company Name","en"
"SIGNUP.INDUSTRY","Industry","en"
"SIGNUP.SECTOR","Sector","en"
"SIGNUP.PHONE_NUMBER","Mobile / Business No.","en"
"SIGNUP.COUNTRY","Country","en"
"SIGNUP.PROMOTIONAL_EMAIL_CONSENT","Yes, I would like to receive promotional emails containing essential industry insights and relevant solutions from redwoods.ai","en"
"SIGNUP.CANCEL","Cancel","en"
"SIGNUP.SUBMIT","Sign Up","en"
"SIGNUP.SEARCH_PLACEHOLDER","Type And Press Enter To Search","en"
"SIGNUP.ENTER_CUSTOM_COMPANY_NAME","Enter custom company name","en"
"Standards","Standards","en"
"Owner","Owner","en"
"Frequency","Frequency","en"
"Results","Results","en"
"Scope 1","Scope 1","en"
"Scope 2","Scope 2","en"
"Scope 3","Scope 3","en"
"Employee Gender Diversity","Employee Gender Diversity","en"
"Employee Gender Diversity (MWh) distribution across locations, visualized in a pie chart for easy comparison","Employee Gender Diversity (MWh) distribution across locations, visualized in a pie chart for easy comparison","en"
"Fatalities - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Fatalities - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"EMP Timeout - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","EMP Timeout - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Emp Turnover - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Emp Turnover - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Impact - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Impact - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Community Allocation - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Community Allocation - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
